Percentile,Top 10 Colleges,Branches
99+,"R.V. College of Engineering, Bengaluru","Computer Science and Engineering (CSE), Electronics and Communication Engineering (ECE), Mechanical Engineering (ME), Civil Engineering (CE), Electrical Engineering (EE), Information Technology (IT), Artificial Intelligence and Machine Learning (AI&ML), Chemical Engineering (CHE)"
98+,"BMS College of Engineering, Bengaluru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, Biotechnology (BT)"
97+,"M.S. Ramaiah Institute of Technology, Bengaluru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, Aerospace Engineering (AE)"
96+,"Dayananda Sagar College of Engineering, Bengaluru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, Civil Engineering (Construction Technology) (CE(CT))"
95+,"Bangalore Institute of Technology (BIT), Bengaluru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
94+,"BMS Institute of Technology and Management (BMSIT), Bengaluru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
93+,"JSS Mahavidyapeetha Academy of Technical Education, Bengaluru (JSSATE)","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
92+,"Sir M. Visvesvaraya Institute of Technology (Sir M.V.I.T.), Bengaluru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
91+,"The National Institute of Engineering (NIE), Mysore","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
90+,"Siddaganga Institute of Technology (SIT), Tumakuru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
89+,"PES Institute of Technology, Bengaluru","CSE, ECE, ME, CE, EE, IT, AI&ML, CHE, BT, AE"
